"organization_name","site_name","date","dow","fiscal week #","fiscal month","fiscal year","traffic","currency","comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","23/06/2021","Mie","26","Jun","2021","7886","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","24/06/2021","Jue","26","Jun","2021","8639","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","25/06/2021","Vie","26","Jun","2021","10365","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","26/06/2021","Sáb","26","Jun","2021","16983","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","27/06/2021","Dom","27","Jun","2021","14850","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","28/06/2021","Lun","27","Jun","2021","7719","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","29/06/2021","Mar","27","Jun","2021","8164","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","30/06/2021","Mie","27","Jun","2021","9183","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","01/07/2021","Jue","27","Jul","2021","8950","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","02/07/2021","Vie","27","Jul","2021","9812","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","03/07/2021","Sáb","27","Jul","2021","15068","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","04/07/2021","Dom","28","Jul","2021","14837","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","05/07/2021","Lun","28","Jul","2021","7539","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","06/07/2021","Mar","28","Jul","2021","7962","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","07/07/2021","Mie","28","Jul","2021","8078","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","08/07/2021","Jue","28","Jul","2021","8599","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","09/07/2021","Vie","28","Jul","2021","9779","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","10/07/2021","Sáb","28","Jul","2021","15170","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","11/07/2021","Dom","29","Jul","2021","14157","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","12/07/2021","Lun","29","Jul","2021","7525","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","13/07/2021","Mar","29","Jul","2021","7917","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","14/07/2021","Mie","29","Jul","2021","8854","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","15/07/2021","Jue","29","Jul","2021","9195","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","16/07/2021","Vie","29","Jul","2021","10550","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","17/07/2021","Sáb","29","Jul","2021","16411","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","18/07/2021","Dom","30","Jul","2021","21401","NONE","Comp"
